time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-08-05T09:09:25.957Z,11.8507,92.0472,10,4.8,mb,64,77,9.35,0.53,us,us6000ky2x,2023-10-07T21:38:59.040Z,"74 km WNW of Bamboo Flat, India",earthquake,9.55,1.827,0.064,77,reviewed,us,us
2023-08-05T04:53:52.852Z,36.5243,69.8597,46.677,4.7,mb,69,45,2.088,0.8,us,us6000ky1a,2023-10-07T21:38:58.040Z,"5 km S of Farkhār, Afghanistan",earthquake,3.25,5.932,0.06,85,reviewed,us,us
2023-08-05T03:06:04.876Z,34.8611,72.8455,45.949,5,mb,72,37,1.257,0.75,us,us6000ky0p,2023-10-07T21:38:58.040Z,"23 km NNW of Shingli Bala, Pakistan",earthquake,6.6,6.065,0.045,160,reviewed,us,us
2023-08-04T03:05:04.410Z,33.2501,92.0029,10,4.9,mb,63,64,3.614,0.79,us,us6000kxqs,2023-10-07T21:38:57.040Z,"196 km N of Nagqu, China",earthquake,9.79,1.85,0.05,127,reviewed,us,us
2023-08-03T11:39:02.737Z,9.0897,93.5963,10,4.8,mb,47,89,7.95,0.87,us,us6000kxif,2023-10-07T21:38:57.040Z,"Nicobar Islands, India region",earthquake,6.18,1.825,0.105,28,reviewed,us,us
2023-08-02T01:07:17.066Z,9.5163,94.0695,10,5.2,mww,80,86,7.758,0.56,us,us6000kx7s,2023-10-07T21:38:56.040Z,"278 km SSE of Port Blair, India",earthquake,4.66,1.773,0.083,14,reviewed,us,us
2023-08-02T00:10:11.622Z,9.3458,93.9282,10,5.3,mww,159,45,5.069,0.89,us,us6000kx7b,2023-10-07T21:38:56.040Z,"287 km SSE of Port Blair, India",earthquake,3.32,1.746,0.075,17,reviewed,us,us
2023-08-01T13:38:51.353Z,9.2693,93.9045,10,4.5,mb,38,107,7.77,0.67,us,us6000kzbd,2023-10-07T21:39:00.040Z,"293 km SSE of Port Blair, India",earthquake,11.92,1.908,0.127,18,reviewed,us,us
2023-07-30T18:33:44.613Z,30.3618,94.8769,10,4.8,mb,105,85,3.317,0.57,us,us6000kwqs,2023-10-07T21:38:55.040Z,"208 km NNE of Shi Yomi, India",earthquake,7.99,1.837,0.051,118,reviewed,us,us
2023-07-30T04:15:11.184Z,30.3856,94.8507,10,4.9,mb,69,70,3.299,0.74,us,us6000kwm4,2023-10-07T21:38:54.040Z,"210 km NNE of Shi Yomi, India",earthquake,5.27,1.721,0.046,148,reviewed,us,us
2023-07-28T19:23:46.487Z,10.5368,93.5418,88.891,5.9,mww,261,17,6.26,0.88,us,us6000kwam,2023-09-30T21:36:33.040Z,"152 km SE of Port Blair, India",earthquake,7.42,1.35,0.047,44,reviewed,us,us
2023-07-28T03:20:30.294Z,30.2874,94.7327,10,4.6,mb,50,77,3.182,1,us,us6000kw25,2023-09-30T21:36:32.040Z,"197 km N of Shi Yomi, India",earthquake,8.98,1.864,0.068,64,reviewed,us,us
2023-07-27T22:13:55.178Z,30.35,94.8318,10,5,mb,102,63,3.277,0.45,us,us6000kw0u,2023-09-30T21:36:32.040Z,"206 km NNE of Shi Yomi, India",earthquake,7.77,1.816,0.046,148,reviewed,us,us
2023-07-23T06:47:32.209Z,18.562,93.6142,10,4.6,mb,29,79,3.899,0.37,us,us7000khrq,2023-09-30T21:36:38.040Z,"172 km W of Pyay, Myanmar",earthquake,10.7,1.905,0.125,22,reviewed,us,us
